id;malha;errom;auto;errop;valor_dirf;dif_dirf;rend_total;rend_tributavel;base_calculo;trabalho;aluguel;rend_capital;autonomo;livro_caixa;rural;ganho_capital;exterior;outros_rend;rend_isento;rend_exclusivo;contrib_prev;dependentes_ded;pensao_alimenticia;pensao_alimenticia_ded;geducativos;geducativos_ded;gmedicos;gmedicos_ded;aliquota;aliquota_efetiva;imposto_devido;imposto_devido2;resultado_decl;iap;iar;tipo_decl;completa;deducao;idade;sexo;casado;dependentes;alimentandos;estado;municipio;ocupacao;natureza;obito;bens_ant;bens;dividas_ant;dividas
1.00;0.00;0.00;0.00;0.00;31919.00;0.00;34080.00;31919.00;25535.00;34072.00;0.00;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2160.00;2943.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.50;0.01;201.00;201.00;-86.00;0.00;86.00;1;0;6383.00;37.00;1;0;0.00;0.00;SP;4133.00;0.00;1;-9.00;100000.00;100000.00;0.00;0.00
2.00;0.00;0.00;0.00;0.00;84016.00;0.00;89281.00;84016.00;63053.00;89281.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5264.00;8992.00;2275.00;0.00;0.00;0.00;0.00;9696.00;9696.00;27.50;0.09;6907.00;6907.00;-2667.00;0.00;2667.00;3;1;20963.00;42.00;1;1;1.00;0.00;SP;4133.00;0.00;1;-9.00;100000.00;100000.00;0.00;0.00
3.00;0.00;0.00;0.00;0.00;44299.00;0.00;47465.00;44299.00;35439.00;47441.00;0.00;24.00;0.00;0.00;0.00;0.00;0.00;0.00;24.00;3142.00;4832.00;0.00;0.00;0.00;0.00;0.00;676.00;0.00;15.00;0.02;1058.00;1058.00;-314.00;0.00;314.00;1;0;8859.00;26.00;0;0;0.00;0.00;SP;4133.00;0.00;1;-9.00;100000.00;100000.00;0.00;0.00
4.00;0.00;0.00;0.00;0.00;44910.00;0.00;47874.00;44910.00;35422.00;47874.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2964.00;4938.00;4550.00;0.00;0.00;0.00;0.00;0.00;0.00;15.00;0.02;1055.00;1055.00;-134.00;0.00;134.00;1;1;9488.00;36.00;0;0;2.00;0.00;SP;4133.00;0.00;1;-9.00;100000.00;100000.00;0.00;0.00
5.00;0.00;0.00;0.00;0.00;0.00;0.00;11941.00;11932.00;9545.00;0.00;0.00;9.00;11932.00;0.00;0.00;0.00;0.00;0.00;9.00;0.00;1312.00;0.00;0.00;0.00;0.00;0.00;250.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;0;2386.00;30.00;0;0;0.00;0.00;SP;4133.00;0.00;1;-9.00;100000.00;100000.00;0.00;0.00
6.00;0.00;0.00;0.00;0.00;53165.00;0.00;59978.00;53165.00;36931.00;57225.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2753.00;2753.00;4059.00;5848.00;2275.00;0.00;0.00;6480.00;3561.00;4549.00;4549.00;15.00;0.02;1282.00;1282.00;-1198.00;0.00;1198.00;1;1;16234.00;44.00;1;0;1.00;0.00;SP;4133.00;0.00;1;-9.00;100000.00;100000.00;0.00;0.00
7.00;0.00;0.00;0.00;0.00;33831.00;0.00;47094.00;33831.00;20212.00;35039.00;0.00;12055.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13263.00;2666.00;2275.00;8677.00;8677.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-699.00;0.00;699.00;1;1;13619.00;30.00;0;0;1.00;1.00;SP;4133.00;0.00;1;-9.00;100000.00;100000.00;0.00;0.00
8.00;0.00;0.00;0.00;0.00;125572.00;0.00;133416.00;125572.00;98929.00;132389.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1026.00;1026.00;6817.00;17142.00;0.00;0.00;0.00;4380.00;3561.00;5938.00;5938.00;27.50;0.14;16773.00;16773.00;-1128.00;0.00;1128.00;1;1;26642.00;54.00;0;0;0.00;0.00;SP;4133.00;0.00;1;-9.00;100000.00;100000.00;0.00;0.00
9.00;0.00;0.00;0.00;0.00;102119.00;0.00;228812.00;102119.00;85365.00;202525.00;0.00;26286.00;0.00;0.00;0.00;0.00;0.00;0.00;101034.00;25657.00;6047.00;0.00;0.00;0.00;0.00;0.00;3414.00;0.00;27.50;0.06;13043.00;13043.00;5628.00;5628.00;0.00;2;0;16754.00;56.00;0;1;2.00;0.00;SP;4133.00;0.00;1;-9.00;100000.00;100000.00;0.00;0.00
10.00;0.00;0.00;0.00;0.00;0.00;0.00;41675.00;25495.00;15316.00;26493.00;0.00;15182.00;0.00;0.00;0.00;0.00;0.00;0.00;15182.00;998.00;0.00;0.00;0.00;0.00;0.00;0.00;10178.00;10178.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;10178.00;64.00;1;0;0.00;0.00;SP;4133.00;0.00;1;-9.00;100000.00;100000.00;0.00;0.00
