estado;nome;gini
RO;Rondônia;0.471956952316791
AC;Acre;0.556492846614129
AM;Amazonas;0.568122795617489
RR;Roraima;0.576437898606094
PA;Pará;0.528684304833508
AP;Amapá;0.513603451750530
TO;Tocantins;0.529623250885539
MA;Maranhão;0.529910250109483
PI;Piauí;0.535517209756699
CE;Ceará;0.561269741754631
RN;Rio Grande do Norte;0.555106310480758
PB;Paraíba;0.559342266590609
PE;Pernambuco;0.572641488538436
AL;Alagoas;0.524222500050610
SE;Sergipe;0.580322219303154
BA;Bahia;0.556492613764269
MG;Minas Gerais;0.488046573907323
ES;Espírito Santo;0.518919568357089
RJ;Rio de Janeiro;0.550818542138856
SP;São Paulo;0.525703534675349
PR;Paraná;0.475763616110745
SC;Santa Catarina;0.421536744807105
RS;Rio Grande do Sul;0.482727049398676
MS;Mato Grosso do Sul;0.485135796354379
MT;Mato Grosso;0.456390680424171
GO;Goiás;0.459140193805926
DF;Distrito Federal;0.553359485936443
