nr_municipio;nb_municipio;latitude_municipio;longitude_municipio;cd_municipio_ibge;ae_municipio
-7.0;Inválido;-7.0;-7.0;IN;-7.0
-9.0;Não se aplica;-9.0;-9.0;NA;-9.0
2125.0;Barrocas - BA;-11.529;-39.078;2903276;200.965
5564.0;Itanhangá - MT;-12.219;-56.638;5104542;2898.075
5565.0;Aroeiras do Itaim - PI;-7.077;-41.467;2200954;257.137
5566.0;Figueirão - MS;-18.675;-53.643;5003900;4882.873
1099.0;Serra Nova Dourada - MT;-12.092;-51.402;5107883;1500.389
1101.0;Vale de São Domingos - MT;-15.294;-59.061;5108352;1933.046
1106.0;Jundiá - RN;-6.272;-35.327;2406155;44.641
1112.0;Governador Lindenberg - ES;-19.252;-40.461;3202256;359.977
1114.0;Mesquita - RJ;-22.782;-43.429;3302858;39.062
1120.0;Arroio do Padre - RS;-31.443;-52.422;4301073;124.317
1122.0;Boa Vista do Cadeado - RS;-28.607;-53.815;4302220;701.102
1124.0;Boa Vista do Incra - RS;-28.819;-53.387;4302238;503.471
1126.0;Bozano - RS;-28.368;-53.771;4302584;201.039
1134.0;Coqueiro Baixo - RS;-29.178;-52.093;4305835;112.277
1136.0;Coronel Pilar - RS;-29.273;-51.687;4305934;105.447
1142.0;Itati - RS;-29.489;-50.105;4310652;206.91
1158.0;Pinto Bandeira - RS;-29.096;-51.45;4314548;2249.555
1160.0;Quatro Irmãos - RS;-27.821;-52.439;4315313;267.986
1162.0;Rolador - RS;-28.258;-54.818;4315958;295.005
1164.0;Santa Cecília do Sul - RS;-28.162;-51.925;4316733;199.396
1166.0;Santa Margarida do Sul - RS;-30.34;-54.08;4316972;955.299
1172.0;Tio Hugo - RS;-28.579;-52.599;4321469;114.236
1174.0;Westfália - RS;-29.417;-51.765;4323770;63.998
660.0;Santa Rosa do Purus - AC;-9.433;-70.493;1200435;6145.61
561.0;Jequiá da Praia - AL;-10.004;-36.024;2703759;351.613
4209.0;Ibitiúva - SP;-20.999;-48.329;3597261;74.208
1089.0;Novo Santo Antônio - MT;-12.29;-50.968;5106315;4393.796
1091.0;Rondolândia - MT;-10.871;-49.504;5107578;12670.486
1095.0;Santa Rita do Trivelato - MT;-13.812;-55.267;5107768;4728.204
1097.0;Santo Antônio do Leste - MT;-14.806000000000001;-53.606;5107792;3600.711
1075.0;Lagoa Santa - GO;-19.183;-51.391;5212253;458.868
1087.0;Nova Santa Helena - MT;-10.82;-53.351;5106190;2359.823
1150.0;Novo Xingu - RS;-27.747;-53.055;4313466;80.59
1132.0;Capão do Cipó - RS;-28.925;-54.692;4304655;1008.65
6000.0;Exterior - EX;-800.0;-800.0;9999999;0.0
6001.0;Plataforma Continental - PC;-800.0;-800.0;7200072;0.0
-8.0;Não informado;-8.0;-8.0;NI;0.0
6002.0;Nazária - PI;-5.09;-42.8;2206720;363.589
1081.0;Conquista d'Oeste - MT;-14.558;-59.572;5103361;2672.207
1118.0;Almirante Tamandaré do Sul - RS;-28.113;-52.909;4300471;265.368
5567.0;Ipiranga do Norte - MT;-12.238;-56.152;5104526;3467.047
1103.0;Pau d'Arco do Piauí - PI;-5.276;-42.405;2207793;430.817
1108.0;Barrocas - BA;-11.529;-39.078;2903276;200.965
1110.0;Luís Eduardo Magalhães - BA;-12.092;-45.805;2919553;3941.069
1116.0;Aceguá - RS;-31.516;-54.1;4300034;1549.383
1128.0;Canudos do Vale - RS;-29.323;-52.234;4304614;81.912
1130.0;Capão Bonito do Sul - RS;-28.128;-51.395;4304622;527.119
1138.0;Cruzaltense - RS;-27.668;-52.649;4306130;166.883
1140.0;Forquetinha - RS;-29.382;-52.091;4308433;93.57
1144.0;Jacuizinho - RS;-29.034;-53.059;4310876;338.535
1146.0;Lagoa Bonita do Sul - RS;-29.489;-53.014;4311239;108.499
1148.0;Mato Queimado - RS;-28.256;-54.616;4312179;114.64
1152.0;Paulo Bento - RS;-27.703;-52.421;4314134;148.364
1154.0;Pedras Altas - RS;-31.733;-53.584;4314175;1377.371
1156.0;Pinhal da Serra - RS;-27.874;-51.17;4314464;437.995
1168.0;São José do Sul - RS;-29.531;-51.482;4318614;59.034
1170.0;São Pedro das Missões - RS;-27.771;-53.255;4319364;79.965
2087.0;Fernando de Noronha - PE;-3.84;-32.411;2605459;17.017
2432.0;Livramento de Nossa Senhora - BA;-13.643;-41.841;2919504;2135.585
6003.0;Paraíso das Águas - MS;-19.02;-53.01;5006275;5032.469
6004.0;Mojuí dos Campos - PA;-2.68;-54.64;1504752;4988.236
6005.0;Balneário Rincão - SC;-28.83;-49.23;4220000;64.636
6006.0;Pescaria Brava - SC;-28.39;-48.88;4212650;105.169
-6.0;Sem local;-6.0;-6.0;SL;-6.0
1.0;Guajará-Mirim - RO;-10.783;-65.339;1100106;24855.724
3.0;Porto Velho - RO;-8.762;-63.904;1100205;34096.388
7.0;Ariquemes - RO;-9.913;-63.041;1100023;4426.571
9.0;Cacoal - RO;-11.438;-61.448;1100049;3792.801
11.0;Pimenta Bueno - RO;-11.673;-61.193;1100189;6240.932
13.0;Vilhena - RO;-12.741;-60.146;1100304;11518.941
25.0;Espigão d'Oeste - RO;-11.525;-61.013;1100098;4518.034
15.0;Jaru - RO;-10.439;-62.466;1100114;2944.128
27.0;Cerejeiras - RO;-13.189;-60.812;1100056;2783.3
29.0;Rolim de Moura - RO;-11.733;-61.778;1100288;1457.888
33.0;Alta Floresta d'Oeste - RO;-11.929;-61.996;1100015;7067.025
35.0;Alvorada d'Oeste - RO;-11.408;-62.389;1100346;3029.189
39.0;Machadinho d'Oeste - RO;-9.444;-61.981;1100130;8509.314
45.0;São Miguel do Guaporé - RO;-11.681000000000001;-62.684;1100320;7460.219
682.0;Itapuã do Oeste - RO;-9.205;-63.18;1101104;4081.583
688.0;Novo Horizonte do Oeste - RO;-11.71;-62.0;1100502;843.446
690.0;Castanheiras - RO;-11.427;-61.95;1100908;892.842
978.0;Vale do Paraíso - RO;-10.449;-62.134;1101807;965.676
976.0;Urupá - RO;-11.125;-62.376;1101708;831.857
696.0;Mirante da Serra - RO;-11.03;-62.675;1101302;1191.875
698.0;Seringueiras - RO;-11.798;-63.031;1101500;3773.505
974.0;Theobroma - RO;-10.244;-62.355;1101609;2197.413
692.0;Governador Jorge Teixeira - RO;-10.61;-62.737;1101005;5067.384
694.0;Ministro Andreazza - RO;-11.196;-61.517;1101203;798.083
674.0;Alto Paraíso - RO;-9.713;-63.321;1100403;2651.822
686.0;Rio Crespo - RO;-9.705;-62.9;1100262;1717.64
980.0;Corumbiara - RO;-12.962;-60.887;1100072;3060.321
678.0;Campo Novo de Rondônia - RO;-10.571;-63.627;1100700;3442.005
680.0;Candeias do Jamari - RO;-8.791;-63.701;1100809;6843.868
684.0;Monte Negro - RO;-10.246;-63.29;1101401;1931.378
676.0;Cacaulândia - RO;-10.34;-62.896;1100601;1961.778
18.0;São Felipe d'Oeste - RO;-11.903;-61.502;1101484;541.647
16.0;Primavera de Rondônia - RO;-11.828;-61.321;1101476;605.692
22.0;Teixeirópolis - RO;-10.918;-62.249;1101559;459.978
24.0;Vale do Anari - RO;-9.863;-62.186;1101757;3135.143
4.0;Buritis - RO;-10.212;-63.829;1100452;3265.809
6.0;Chupinguaia - RO;-12.552;-60.9;1100924;5126.723
20.0;São Francisco do Guaporé - RO;-12.062;-63.569;1101492;10959.767
107.0;Cruzeiro do Sul - AC;-7.631;-72.67;1200203;8779.391
113.0;Feijó - AC;-8.164;-70.354;1200302;27974.89
147.0;Tarauacá - AC;-8.161;-70.766;1200609;20171.053
109.0;Mâncio Lima - AC;-7.614;-72.896;1200336;5453.073
654.0;Marechal Thaumaturgo - AC;-8.941;-72.792;1200351;8191.694
656.0;Porto Walter - AC;-8.269;-72.744;1200393;6443.826
652.0;Jordão - AC;-9.434;-71.884;1200328;5357.282
658.0;Rodrigues Alves - AC;-7.742;-72.647;1200427;3076.95
105.0;Brasiléia - AC;-11.01;-68.748;1200104;3916.495
139.0;Rio Branco - AC;-9.975;-67.81;1200401;8835.541
145.0;Sena Madureira - AC;-9.066;-68.657;1200500;23751.474
149.0;Xapuri - AC;-10.652;-68.504;1200708;5347.446
157.0;Assis Brasil - AC;-10.941;-69.567;1200054;4974.176
153.0;Senador Guiomard - AC;-10.151;-67.736;1200450;2321.446
155.0;Manoel Urbano - AC;-8.839;-69.26;1200344;10634.462
151.0;Plácido de Castro - AC;-10.276;-67.15;1200385;1943.245
650.0;Epitaciolândia - AC;-11.029;-68.741;1200252;1654.768
648.0;Porto Acre - AC;-9.588;-67.533;1200807;2604.856
642.0;Acrelândia - AC;-9.828;-66.883;1200013;1807.916
646.0;Capixaba - AC;-10.573;-67.676;1200179;1702.577
644.0;Bujari - AC;-9.831;-67.952;1200138;3034.869
213.0;Benjamin Constant - AM;-4.383;-70.031;1300607;8793.417
273.0;Santo Antônio do Içá - AM;-3.102;-67.94;1303700;12307.193
275.0;São Paulo de Olivença - AM;-3.378;-68.873;1303908;19745.898
291.0;Amaturá - AM;-3.364;-68.198;1300060;4758.743
5491.0;Tonantins - AM;-2.873;-67.802;1304237;6432.677
5489.0;Tabatinga - AM;-4.253;-69.938;1304062;3224.875
221.0;Carauari - AM;-4.883;-66.896;1301001;25767.675
239.0;Ipixuna - AM;-7.051;-71.695;1301803;12044.702
5484.0;Itamarati - AM;-6.425;-68.253;1301951;25275.925
966.0;Guajará - AM;-7.546;-72.584;1301654;7578.876
215.0;Boca do Acre - AM;-8.752;-67.398;1300706;21951.264
219.0;Canutama - AM;-6.534;-64.383;1300904;29819.714
271.0;Pauini - AM;-7.714;-66.976;1303502;41610.058
279.0;Tapauá - AM;-5.628;-63.183;1304104;89325.192
217.0;Borba - AM;-4.388;-59.594;1300805;44251.745
235.0;Humaitá - AM;-7.506;-63.021;1301704;33071.79
257.0;Manicoré - AM;-5.809;-61.3;1302702;48282.664
267.0;Novo Aripuanã - AM;-5.121;-60.38;1303304;41187.892
968.0;Apuí - AM;-7.197;-59.891;1300144;54240.015
201.0;Novo Airão - AM;-2.621;-60.944;1303205;37771.378
237.0;Santa Isabel do Rio Negro - AM;-0.414;-65.019;1303601;62846.408
283.0;São Gabriel da Cachoeira - AM;-0.13;-67.089;1303809;109183.434
203.0;Anori - AM;-3.773;-61.644;1300102;5795.311
259.0;Maraã - AM;-1.8559999999999999;-65.581;1302801;16910.373
281.0;Tefé - AM;-3.354;-64.711;1304203;23704.475
289.0;Alvarães - AM;-3.221;-64.804;1300029;5911.768
293.0;Anamã - AM;-3.58;-61.404;1300086;2453.937
5490.0;Uarini - AM;-2.99;-65.108;1304260;10246.237
243.0;Itapiranga - AM;-2.749;-58.022;1302009;4231.152
263.0;Nhamundá - AM;-2.186;-56.713;1303007;14105.585
265.0;Nova Olinda do Norte - AM;-3.888;-59.094;1303106;5608.565
269.0;Parintins - AM;-2.628;-56.736;1303403;5952.39
277.0;Silves - AM;-2.839;-58.209;1304005;3748.833
285.0;Urucará - AM;-2.536;-57.76;1304302;27904.26
287.0;Urucurituba - AM;-3.1310000000000002;-58.155;1304401;2906.701
295.0;Beruri - AM;-3.898;-61.373;1300631;17250.721
297.0;Boa Vista do Ramos - AM;-2.9699999999999998;-57.59;1300680;2586.846
299.0;Caapiranga - AM;-3.328;-61.209;1300839;9456.618
5483.0;Iranduba - AM;-3.285;-60.186;1301852;2214.251
5487.0;Rio Preto da Eva - AM;-2.699;-59.7;1303569;5813.225
5488.0;São Sebastião do Uatumã - AM;-2.572;-57.871;1303957;10741.08
5485.0;Manaquiri - AM;-3.428;-60.459;1302553;3975.77
5486.0;Presidente Figueiredo - AM;-2.034;-60.025;1303536;25422.333
964.0;Careiro da Várzea - AM;-3.221;-59.826;1301159;2631.144
301.0;Boa Vista - RR;2.82;-60.673;1400100;5687.036
303.0;Caracaraí - RR;1.8159999999999998;-61.128;1400209;47411.034
305.0;Alto Alegre - RR;2.98;-61.292;1400050;25567.015
307.0;Bonfim - RR;3.36;-59.833;1400159;8095.42
311.0;Normandia - RR;3.8810000000000002;-59.623;1400407;6966.813
309.0;Mucajaí - RR;2.43;-60.9;1400308;12461.21
313.0;São João da Baliza - RR;0.951;-59.911;1400506;4284.507
315.0;São Luiz - RR;1.005;-60.159;1400605;1526.888
26.0;Amajari - RR;3.652;-61.371;1400027;28472.328
32.0;Iracema - RR;2.182;-61.041;1400282;14409.577
36.0;Rorainópolis - RR;0.946;-60.418;1400472;33594.046
38.0;Uiramutã - RR;4.596;-60.168;1400704;8065.564
406.0;Alenquer - PA;-1.942;-54.738;1500404;23645.452
458.0;Faro - PA;-2.171;-56.745;1503002;11770.628
476.0;Juruti - PA;-2.152;-56.092;1503903;8306.273
494.0;Monte Alegre - PA;-2.008;-54.069;1504802;18152.56
500.0;Óbidos - PA;-1.9180000000000001;-55.518;1505106;28021.419
504.0;Oriximiná - PA;-1.766;-55.866;1505304;107603.292
534.0;Santarém - PA;-2.443;-54.708;1506807;22886.624
636.0;Terra Santa - PA;-2.104;-56.487;1507979;1896.506
60.0;Placas - PA;-3.868;-54.22;1505650;7173.194
44.0;Belterra - PA;-2.636;-54.937;1501451;4398.419
50.0;Curuá - PA;-1.888;-55.117;1502855;1431.157
418.0;Aveiro - PA;-3.606;-55.332;1501006;17074.036
470.0;Itaituba - PA;-4.276;-55.984;1503606;62040.705
596.0;Rurópolis - PA;-4.096;-54.91;1506195;7021.321
630.0;Jacareacanga - PA;-6.224;-57.754;1503754;53303.083
634.0;Trairão - PA;-4.574;-55.944;1508050;11991.085
632.0;Novo Progresso - PA;-7.147;-55.382;1505031;38162.134
408.0;Almeirim - PA;-1.5230000000000001;-52.582;1500503;72954.798
516.0;Porto de Moz - PA;-1.748;-52.238;1505908;17423.017
518.0;Prainha - PA;-1.8;-53.48;1506005;14786.987
398.0;Uruará - PA;-3.718;-53.737;1508159;10791.371
588.0;Medicilândia - PA;-3.446;-52.889;1504455;8272.629
410.0;Altamira - PA;-3.203;-52.206;1500602;159533.73
544.0;São Félix do Xingu - PA;-6.645;-51.995;1507300;84213.284
590.0;Ourilândia do Norte - PA;-6.755;-51.084;1505437;14410.567
396.0;Tucumã - PA;-6.748;-51.161;1508084;2512.594
384.0;Cumaru do Norte - PA;-7.825;-50.773;1502764;17085.001
640.0;Vitória do Xingu - PA;-2.88;-52.01;1508357;3089.537
638.0;Brasil Novo - PA;-3.262;-52.668;1501725;6362.575
42.0;Bannach - PA;-7.348;-50.396;1501253;2956.649
404.0;Afuá - PA;-0.157;-50.387;1500305;8372.795
412.0;Anajás - PA;-0.987;-49.94;1500701;6921.746
434.0;Breves - PA;-1.682;-50.48;1501808;9550.513
454.0;Curralinho - PA;-1.814;-49.795;1502806;3617.252
460.0;Gurupá - PA;-1.405;-51.64;1503101;8540.113
488.0;Melgaço - PA;-1.804;-50.712;1504505;6774.018
514.0;Portel - PA;-1.936;-50.821;1505809;25384.96
552.0;São Sebastião da Boa Vista - PA;-1.718;-49.541;1507706;1632.251
554.0;Senador José Porfírio - PA;-2.591;-51.954;1507805;14419.916
592.0;Pacajá - PA;-3.838;-50.638;1505486;11832.333
40.0;Anapu - PA;-3.472;-51.198;1500859;11895.506
438.0;Cachoeira do Arari - PA;-1.011;-48.963;1502004;3100.261
448.0;Chaves - PA;-0.16;-49.988;1502509;13084.957
496.0;Muaná - PA;-1.528;-49.217;1504901;3765.55
512.0;Ponta de Pedras - PA;-1.3900000000000001;-48.871;1505700;3365.148
524.0;Salvaterra - PA;-0.753;-48.517;1506302;1039.072
526.0;Santa Cruz do Arari - PA;-0.664;-49.163;1506401;1076.652
556.0;Soure - PA;-0.717;-48.523;1507904;3517.318
400.0;Abaetetuba - PA;-1.718;-48.883;1500107;1610.606
420.0;Bagre - PA;-1.9;-50.164;1501105;4397.321
422.0;Baião - PA;-2.791;-49.672;1501204;3758.297
424.0;Barcarena - PA;-1.506;-48.626;1501303;1310.336
440.0;Cametá - PA;-2.2439999999999998;-49.496;1502103;3081.367
464.0;Igarapé-Miri - PA;-1.975;-48.96;1503309;1996.843
478.0;Limoeiro do Ajuru - PA;-1.895;-49.381;1504000;1490.186
490.0;Mocajuba - PA;-2.584;-49.507;1504604;870.809
492.0;Moju - PA;-1.884;-48.769;1504703;9094.135
502.0;Oeiras do Pará - PA;-2.003;-49.854;1505205;3852.291
472.0;Itupiranga - PA;-5.135;-49.327;1503705;7880.107
474.0;Jacundá - PA;-4.451;-49.116;1503804;2008.315
482.0;Marabá - PA;-5.369;-49.118;1504208;15128.416
548.0;São João do Araguaia - PA;-5.358;-48.791;1507508;1279.889
560.0;Tucuruí - PA;-3.768;-49.673;1508100;2086.189
594.0;Parauapebas - PA;-6.068;-49.902;1505536;6886.208
580.0;Curionópolis - PA;-6.091;-49.541;1502772;2368.743
576.0;Brejo Grande do Araguaia - PA;-5.699;-48.413;1501758;1288.477
574.0;Bom Jesus do Tocantins - PA;-5.051;-48.609;1501576;2816.479
378.0;Palestina do Pará - PA;-5.742;-48.317;1505494;984.362
376.0;Eldorado dos Carajás - PA;-6.104;-49.355;1502954;2956.734
382.0;Água Azul do Norte - PA;-6.791;-50.467;1500347;7113.961
628.0;Novo Repartimento - PA;-4.331;-49.796;1505064;15398.714
380.0;São Domingos do Araguaia - PA;-5.538;-48.733;1507151;1392.464
374.0;Abel Figueiredo - PA;-4.954;-48.393;1500131;614.271
624.0;Breu Branco - PA;-4.009;-49.461;1501782;3941.938
48.0;Canaã dos Carajás - PA;-6.497;-49.878;1502152;3146.407
452.0;Conceição do Araguaia - PA;-8.258;-49.265;1502707;5829.482
532.0;Santana do Araguaia - PA;-9.505;-50.625;1506708;11591.563
